split,model,cosine_sim_same,cosine_sim_multi,rouge_l_same,rouge_l_multi,bertscore_f1_same,bertscore_f1_multi
train,teacher,,,,,,
train,baseline,,,,,,
train,finetuned,,,,,,
val,teacher,,,,,,
val,baseline,,,,,,
val,finetuned,,,,,,
test,teacher,1.000000062584877,1.000000062584877,1.0,1.0,1.0000000178813935,1.0000000178813935
test,baseline,0.7933412790298462,0.8723642736673355,0.541147186147186,0.7139910089910089,0.9249276340007782,0.9484677881002426
test,finetuned,0.809277868270874,0.8917547225952148,0.5652751415251414,0.6998959373959375,0.9290180593729019,0.9512083470821381
